"field","options_fingerprint","key","choice","first_seen"
"project_scale (geographic level of the project)","6-143903628","scope: country africa | locations: 26 partial (lists 15 of the counted countries): ""15 countries received support on their slwm country strategic investment framework (csif) including uganda, madagascar, ghana, gambia, mali, kenya, niger, senegal, drc, burkina faso, cote d’ivoire, nigeria, malawi, t","multinational","2026-09-10"
"project_scale (geographic level of the project)","6-143903628","scope: ""burkina faso, burundi, eswatini, ethiopia, ghana, kenya, malawi, niger, nigeria, senegal, tanzania, uganda"" [page 18] | locations: 12 12 countries are named as receiving support: ""burkina faso, burundi, eswatini, ethiopia, ghana, kenya, malawi, niger, nigeria, senegal, tanzania, uganda"" [pag","multinational","2026-09-10"
"project_scale (geographic level of the project)","6-143903628","scope: brazil, indonesia, liberia, paraguay | locations: 1 brazil, indonesia, liberia, paraguay","multinational","2026-09-10"
"project_scale (geographic level of the project)","6-143903628","scope: ""cabo verde, côte d’ivoire, ecuador, indonesia, peru, senegal"" [page 17] | locations: 3 counted only the african countries from the list: ""cabo verde, côte d’ivoire, ecuador, indonesia, peru, senegal"" [page 17]","multinational","2026-09-10"
"project_scale (geographic level of the project)","6-143903628","scope: evaluation of niassa food and livelihood security programme in mozambique 1. association survey questionnaire - an inquiry into the specific situation of primary level associations - niassa province – southern zone ""a survey questionnaire implemented with 28 associations in five districts in ","sub-national","2026-09-10"
"project_scale (geographic level of the project)","6-143903628","scope: ""the project’s goal is to strengthen food security in four countries of the lake chad basin area, namely cameroon, niger, nigeria and chad."" [page 8] | locations: 20 20 pilot villages are named as receiving support: ""research and development was conducted in 20 pilot villages, at the rate of ","multinational","2026-09-10"
"project_scale (geographic level of the project)","6-143903628","scope: in total, four fgds were conducted, engaging 33 smallholder farmers from the rwamagana and ngoma districts, selected to reflect the diverse geographical and socio-economic contexts within the kohunya and imberutso za karembo cooperatives. | locations: 4 counted four locations at district/coop","sub-national","2026-09-10"
"project_scale (geographic level of the project)","6-143903628","scope: the study’s geographical scope was nationwide, with specific emphasis on regions where acre rwanda has the highest farmer uptake of insurance products, including the northern, southern, eastern, and western provinces, and kigali city. | locations: 5 ""the study’s geographical scope was nationw","national","2026-09-10"
"project_scale (geographic level of the project)","6-143903628","scope: ""this implementation completion and results report (icr) evaluates the south west indian ocean fisheries governance and shared growth project 1 (swiofish1) – a first in the swiofish series of operations (sop), with international development association (ida) credits and grants and global envi","multinational","2026-09-10"
"project_scale (geographic level of the project)","6-143903628","scope: ""the participating sadc countries were malawi, mozambique and zambia, and the priority crops chosen were maize, rice, and legumes."" | locations: 3 ""the participating sadc countries were malawi, mozambique and zambia, and the priority crops chosen were maize, rice, and legumes.""","multinational","2026-09-10"
"target_beneficiary_project (who the project targets)","24-115445661","there can be no doubt as to the high degree of relevance of the project for the achievement of the ultimate goal of sustaining the natural resource base to improve the livelihoods of the rural population of ssa.","community","2026-09-10"
"target_beneficiary_project (who the project targets)","24-115445661","improving agricultural sustainability and productivity for smallholder farmers across sub-saharan africa","smallholder farmer","2026-09-10"
"target_beneficiary_project (who the project targets)","24-115445661","in liberia, smallholder palm oil producers adopted more sustainable practices, while in paraguay’s chaco region, ranchers improved grazing and traceability. in indonesia, nearly 2,700 farmers were trained in sustainable intensification, with 89 percent adoption.","smallholder farmer","2026-09-10"
"target_beneficiary_project (who the project targets)","24-115445661","bolstering small-scale coastal fisheries governance while securing environmental, social, and economic benefits for local communities","artisanal fisher","2026-09-10"
"target_beneficiary_project (who the project targets)","24-115445661","total population - members in associations assisted by ogb in southern niassa = 6,324 (data from oxfam cuamba)","community","2026-09-10"
"target_beneficiary_project (who the project targets)","24-115445661","7. beneficiary : 4 lcbc countries: cameroon, niger, nigeria and chad","community","2026-09-10"
"target_beneficiary_project (who the project targets)","24-115445661","it aims to evaluate if the end user groups, particularly small-scale farmers, benefitted from the product education intervention and its subsequent activities.","smallholder farmer","2026-09-10"
"target_beneficiary_project (who the project targets)","24-115445661","this initiative has taken a forward-thinking approach towards agricultural insurance, aiming to offer an invaluable safety net to smallholder farmers.","smallholder farmer","2026-09-10"
"target_beneficiary_project (who the project targets)","24-115445661","(d) number of direct project beneficiaries (of whom % are females) - comoros (target: 10,000, 27%) - mozambique (target: 60,000, 10%) - tanzania (target: 65,000, 50%) - regional (target: 50, 30%)","community","2026-09-10"
"target_beneficiary_project (who the project targets)","24-115445661","the primary beneficiaries of the appsa were farmers, livestock producers, and other potential end-users of the improved technology and knowledge generated and/or disseminated by the program.","producer","2026-09-10"
"document_type","19-942938535","oxfam gb programme evaluation","CANDIDATE: programme evaluation","2026-09-10"
"result_metric (what a project result counts)","27-87336763","an slwm knowledge platform at ssa level for knowledge support to country investments is up and running with full functionalities available","CANDIDATE: knowledge platform established","2026-09-10"
"result_metric (what a project result counts)","27-87336763","4.7 million beneficiaries (111 percent of target)","total beneficiaries","2026-09-10"
"result_metric (what a project result counts)","27-87336763","reaching 10,496 beneficiaries (175 percent of its target)","total beneficiaries","2026-09-10"
"result_metric (what a project result counts)","27-87336763","""393 women improving their conditions""","women beneficiaries","2026-09-10"
"result_metric (what a project result counts)","27-87336763","number associations land not legalized","CANDIDATE: associations number","2026-09-10"
"result_metric (what a project result counts)","27-87336763","nearly ten thousand (10 000) farm managers (compared to one thousand envisaged at project start-up) were able to increase their yields of subsistence crops (millet, sorghum, cowpea).","crop producers","2026-09-10"
"result_metric (what a project result counts)","27-87336763","with approximately 43% of farmers feeling confident and the rest expressing moderate confidence","CANDIDATE: farmer confidence","2026-09-10"
"result_metric (what a project result counts)","27-87336763","participation of over 10,000 individuals in such programs.","total beneficiaries","2026-09-10"
"result_metric (what a project result counts)","27-87336763","direct project beneficiaries","direct beneficiaries","2026-09-10"
"result_unit","12-10592817","women","individuals","2026-09-10"
"result_unit","12-10592817","associations","organizations","2026-09-10"
"result_unit","12-10592817","farm managers","individuals","2026-09-10"
"result_metric (what a project result counts)","27-87336763","countries supported in their slm country investment framework development, implementation, or update","CANDIDATE: countries supported","2026-09-10"
"result_metric (what a project result counts)","27-87336763","47 percent of beneficiaries were women","women beneficiaries","2026-09-10"
"result_metric (what a project result counts)","27-87336763","reaching 22,526 beneficiaries (66 percent of target)","total beneficiaries","2026-09-10"
"result_metric (what a project result counts)","27-87336763","""the unicas in tumbes have increased from 12 to 17""","producer organizations","2026-09-10"
"result_metric (what a project result counts)","27-87336763","percent","CANDIDATE: percentage","2026-09-10"
"result_metric (what a project result counts)","27-87336763","almost 500 farmer field school days ... were organized each year (2003 and 2004)","CANDIDATE: Farmer Field School days","2026-09-10"
"result_metric (what a project result counts)","27-87336763","all the farmers indicated that they would recommend the insurance services to their friends and neighbours","CANDIDATE: willingness to recommend","2026-09-10"
"result_metric (what a project result counts)","27-87336763","sold fewer than 5,000 policies to smallholder farmers since the program’s inception in 2019.","smallholder farmers reached","2026-09-10"
"result_metric (what a project result counts)","27-87336763","female beneficiaries","women beneficiaries","2026-09-10"
"result_unit","12-10592817","unicas","organizations","2026-09-10"
"result_unit","12-10592817","farmer field school days","quantity","2026-09-10"
"result_unit","12-10592817","policies","CANDIDATE: policies adopted","2026-09-10"
"result_metric (what a project result counts)","27-87336763","new knowledge and advocacy products disseminated at country level","CANDIDATE: knowledge products disseminated","2026-09-10"
"result_metric (what a project result counts)","27-87336763","terrestrial protected areas (57 thousand ha, 100 percent)","terrestrial protected areas","2026-09-10"
"result_metric (what a project result counts)","27-87336763","land benefiting from improved natural resource management and practices for biodiversity","land under climate-smart practices","2026-09-10"
"result_metric (what a project result counts)","27-87336763","""implementation of a primary processing plant for crab extracted from the sanctuary and shrimp produced in its buffer zone""","processors","2026-09-10"
"result_metric (what a project result counts)","27-87336763","number associations association legally recognized","producer organizations","2026-09-10"
"result_metric (what a project result counts)","27-87336763","600 visits to demonstration plots established in pilot farmers’ fields were organized each year (2003 and 2004)","smallholder farmers reached","2026-09-10"
"result_metric (what a project result counts)","27-87336763","their companies sold over 20,001 policies during the same period.","CANDIDATE: insurance policies sold","2026-09-10"
"result_metric (what a project result counts)","27-87336763","comoros (direct project beneficiaries)","direct beneficiaries","2026-09-10"
"result_metric (what a project result counts)","27-87336763","direct beneficiaries - malawi","direct beneficiaries","2026-09-10"
